ep_returns,ep_lens
-0.9665057556981145,37.735849056603776
-0.7354908389499387,39.603960396039604
-0.8109802256426715,38.83495145631068
-0.4426120633842298,38.46153846153846
0.00934860265966909,40.0
0.12805123345774952,39.603960396039604
0.6292741123091214,38.83495145631068
0.4540559934214772,38.83495145631068
1.1727151179049744,40.4040404040404
1.5982838793794272,40.0
2.0470750639577187,40.4040404040404
2.4134983071673144,40.0
2.366671222367128,39.21568627450981
2.2833913203245197,39.21568627450981
2.697833064494573,39.603960396039604
3.703043406445757,40.4040404040404
3.253318429984501,39.603960396039604
3.797093638947155,40.4040404040404
3.818449398345809,39.21568627450981
4.153086962569267,38.83495145631068
4.028145704492358,38.46153846153846
4.192778710428268,37.03703703703704
4.644649041435654,38.095238095238095
5.1066572438632205,38.46153846153846
5.095339579894484,37.38317757009346
5.441862434661984,36.36363636363637
5.221363392709423,35.39823008849557
5.254016993458867,37.03703703703704
5.942178250584248,37.38317757009346
5.617469546989491,37.38317757009346
5.746654066816958,37.38317757009346
5.616416062251226,36.03603603603604
6.098648037609559,37.735849056603776
6.139880443242568,38.83495145631068
6.709375442701003,38.83495145631068
6.78832766354424,40.4040404040404
6.254383789778893,37.38317757009346
6.395462862215741,38.83495145631068
6.887826739102798,40.4040404040404
6.863828555418516,39.603960396039604
6.531897707219736,38.83495145631068
6.833902946224982,38.095238095238095
6.830750888011281,38.095238095238095
6.98558907030906,39.21568627450981
7.280227625849247,39.21568627450981
7.209368674193114,38.46153846153846
7.286029962362355,38.46153846153846
7.3618216427232746,39.21568627450981
7.836479383867402,40.0
7.778314202699678,40.816326530612244
7.720314208981343,41.23711340206186
7.587548335003065,40.816326530612244
7.848267031731386,41.23711340206186
7.902727539077045,43.956043956043956
8.312500910199331,44.44444444444444
8.083481016657123,43.956043956043956
8.34072040880252,43.01075268817204
8.30162591282569,43.47826086956522
8.256157098559386,43.01075268817204
8.986661553876406,45.45454545454545
9.511616358743748,45.45454545454545
8.892196056978232,43.47826086956522
8.505511146385022,43.47826086956522
9.142652798476883,47.05882352941177
9.361362657538955,46.51162790697674
9.578901682134369,46.51162790697674
8.82953844847409,45.97701149425287
10.837880371690336,50.0
10.28395801516839,48.78048780487805
9.595420052913475,46.51162790697674
9.463295232838739,47.61904761904762
10.529878999336294,50.0
9.9208228081858,50.0
9.924733042443247,47.61904761904762
9.911886870831205,48.19277108433735
10.005450957988467,48.78048780487805
9.791287102296732,47.61904761904762
10.501286075515338,50.0
10.0488893698509,48.19277108433735
11.046508256099877,51.282051282051285
10.56730168164688,50.63291139240506
10.200696430490275,48.78048780487805
11.2834339579581,50.63291139240506
11.108571830860019,50.0
9.83847997892763,49.382716049382715
11.141515755436124,51.282051282051285
10.428016872104411,50.0
10.984396801362438,51.94805194805195
10.978343562220648,51.282051282051285
11.882965947126314,52.63157894736842
11.150574592351555,51.282051282051285
11.864579263968219,54.054054054054056
12.363977814423853,56.33802816901409
11.324843909431493,51.282051282051285
11.210866461848372,49.382716049382715
11.227339839155254,51.94805194805195
11.2102049065735,50.0
11.856351330679471,52.63157894736842
10.966759248870781,51.282051282051285
12.44944047931244,53.333333333333336
11.736124957979081,52.63157894736842
12.255826135739715,52.63157894736842
12.142853569575559,54.054054054054056
12.30646268273553,54.054054054054056
12.4384550444666,52.63157894736842
11.99750864792189,53.333333333333336
12.411898291930644,55.55555555555556
12.07920891879518,54.054054054054056
12.027504114561705,54.794520547945204
12.770485546026961,56.33802816901409
12.66480726381946,52.63157894736842
12.319287885953077,54.054054054054056
12.179208379187829,54.794520547945204
12.834791400765393,56.33802816901409
12.503093863368253,54.054054054054056
12.089213744858643,52.63157894736842
12.962697659330674,54.794520547945204
12.464412654475009,54.794520547945204
12.901718680165484,54.794520547945204
12.988023664250155,57.142857142857146
12.920077691009748,55.55555555555556
12.049578383214731,54.794520547945204
12.256983077067602,56.33802816901409
12.674254023774317,55.55555555555556
13.284312635399013,54.794520547945204
13.158606685716087,57.142857142857146
13.056605205244804,53.333333333333336
13.783291101049905,58.8235294117647
12.961074593873445,54.794520547945204
12.881751598293054,54.794520547945204
12.615217577907995,54.054054054054056
13.469566431378407,56.33802816901409
14.066214871175351,57.971014492753625
13.786503793947873,56.33802816901409
13.952256606540999,58.8235294117647
13.011268626581526,57.142857142857146
13.270197393885233,56.33802816901409
12.862645139083728,55.55555555555556
13.614747331563652,57.971014492753625
13.574061165099177,54.054054054054056
13.351259735883746,55.55555555555556
13.587334737874022,57.142857142857146
14.592822460843369,57.971014492753625
14.358805781858614,57.142857142857146
12.972212380958812,56.33802816901409
15.069313951023176,58.8235294117647
14.430160617776567,57.142857142857146
14.012243980858518,57.142857142857146
12.707605829757945,53.333333333333336
12.888795157680942,56.33802816901409
14.102935615842098,59.701492537313435
12.234220524219532,54.794520547945204
14.845535579031237,59.701492537313435
12.64435736030003,54.054054054054056
13.963700795920046,57.142857142857146
13.976567447288973,56.33802816901409
13.165904787636755,54.794520547945204
14.08640897082699,57.142857142857146
14.614485356338387,57.971014492753625
13.592033477807473,54.794520547945204
13.85998296801809,55.55555555555556
13.063490531663682,54.054054054054056
13.526094843614398,55.55555555555556
14.57984885121655,57.971014492753625
15.311748037771931,60.60606060606061
14.116200409838173,57.142857142857146
13.273711170360334,57.971014492753625
14.056862311182998,56.33802816901409
15.149446736453282,60.60606060606061
14.210189774129189,57.971014492753625
13.721382470194941,55.55555555555556
